#namaste,score=2.16828383214492
#fireflynov11,score=2.16828383214492
#rejoice,score=2.16828383214492
#nature,score=1.89203045551676
#ecstatic,score=1.89129704880989
#celebrate,score=1.88060175969314
nostalgic,score=1.88060175969314
playful,score=1.88060175969314
#cloud9,score=1.88060175969314
scifi,score=1.88060175969314
weeeee,score=1.88060175969314
#happyplace,score=1.88060175969314
#pleasure,score=1.88060175969314
#ilovechristmas,score=1.88060175969314
#massage,score=1.88060175969314
listenting,score=1.88060175969314
#purebliss,score=1.88060175969314
#lml,score=1.88060175969314
#loving,score=1.88060175969314
#newme,score=1.88060175969314
#salvation,score=1.88060175969314
pitter,score=1.88060175969314
#freshair,score=1.88060175969314
#abundance,score=1.88060175969314
#dignity,score=1.88060175969314
#rested,score=1.88060175969314
#feelgood,score=1.88060175969314
#lovinglife,score=1.86979084358892
#lovelife,score=1.86817923969458
blissful,score=1.86290218259374
overflowing,score=1.86290218259374
#december,score=1.86290218259374
#humor,score=1.86290218259374
#enjoy,score=1.85812890384108
raindrops,score=1.85812890384108
calmness,score=1.85812890384108
brightens,score=1.85812890384108
#health,score=1.85650420811408
tam,score=1.85462627328988
#cozy,score=1.84983010102638
#beach,score=1.84983010102638
#lovethis,score=1.84983010102638
pane,score=1.84983010102638
#favor,score=1.84983010102638
candlelight,score=1.84983010102638
beginnings,score=1.84983010102638
soothing,score=1.84737611206482
#comfort,score=1.84551043988187
#exercise,score=1.84286143171029
#aa,score=1.84286143171029
#thankyoujesus,score=1.84286143171029
#mindfulness,score=1.83977976517288
pleasures,score=1.83181159552371
#scifi,score=1.83181159552371
#newlife,score=1.83181159552371
hee,score=1.83181159552371
happiness,score=1.82735724517433
artwork,score=1.8199771378767
pathway,score=1.8199771378767
lama,score=1.8199771378767
breeze,score=1.81688594530703
#oneness,score=1.81160888820619
#kid,score=1.81160888820619
#thelife,score=1.81160888820619
rejoicing,score=1.81160888820619
#overthemoon,score=1.81160888820619
#metime,score=1.81160888820619
oils,score=1.81160888820619
snuggles,score=1.81160888820619
#relaxing,score=1.80616916491037
#lifeisgood,score=1.80537833845555
#christmastime,score=1.80364071855701
waves,score=1.80203943719004
#stressfree,score=1.8005590520196
zoe,score=1.79672027571244
#satisfied,score=1.79672027571244
#blessing,score=1.79359038270351
#bonding,score=1.79359038270351
merry,score=1.7891855998775
#pure,score=1.78879421044001
wok,score=1.78879421044001
#light,score=1.78529157988881
#goodday,score=1.78529157988881
#spirit,score=1.7788190653832
#grateful,score=1.77437954643783
#laughter,score=1.76937612458291
lounging,score=1.76281872403675
#godisgreat,score=1.76281872403675
#princess,score=1.76281872403675
crafts,score=1.76281872403675
enchanted,score=1.76281872403675
#overjoyed,score=1.76281872403675
aristotle,score=1.76281872403675
#simple,score=1.76281872403675
giver,score=1.76281872403675
day/night,score=1.76281872403675
#complete,score=1.76281872403675
#jo,score=1.76281872403675
#humble,score=1.76281872403675
soothe,score=1.76281872403675
#healthy,score=1.76281872403675
strolling,score=1.76281872403675
#tan,score=1.76281872403675
#happydance,score=1.76281872403675
funday,score=1.76281872403675
scenery,score=1.76281872403675
fajr,score=1.76281872403675
#walking,score=1.76281872403675
#encouraged,score=1.76281872403675
#greatfriends,score=1.76281872403675
buddhist,score=1.76281872403675
#jesustweeters,score=1.76281872403675
niv,score=1.76281872403675
#carnival,score=1.76281872403675
#indescribable,score=1.76281872403675
softly,score=1.76281872403675
#bouttime,score=1.76281872403675
#happyday,score=1.76281872403675
#greatday,score=1.76281872403675
hammock,score=1.76281872403675
leaf,score=1.75296642759374
#recovery,score=1.75212343492001
custom,score=1.74902540190442
#success,score=1.74867421665059
yey,score=1.74707036706861
meditation,score=1.73982920581206
#goodmood,score=1.73750091605246
#positive,score=1.73750091605246
#worship,score=1.73541974984864
#freedom,score=1.73541974984864
abundance,score=1.73296576088707
#soul,score=1.73296576088707
#sun,score=1.73296576088707
dwelling,score=1.72645107986588
#alive,score=1.72645107986588
#freshstart,score=1.72645107986588
ddd,score=1.72645107986588
#victory,score=1.72645107986588
#clean,score=1.72645107986588
snuggling,score=1.72645107986588
#laugh,score=1.72645107986588
#refreshed,score=1.72645107986588
#kind,score=1.72645107986588
#blessed,score=1.72541454180987
#holiday,score=1.71933361209702
#kindness,score=1.71629870840186
mein,score=1.71629870840186
#reunion,score=1.71629870840186
#newday,score=1.71629870840186
#xa,score=1.71629870840186
#hunting,score=1.71629870840186
redeemed,score=1.71629870840186
#makesmehappy,score=1.71629870840186
#myfavorite,score=1.71629870840186
#christmasbreak,score=1.71629870840186
#gratitude,score=1.71226644487392
#balance,score=1.70875150276648
#holidays,score=1.70566031019681
candles,score=1.70357589047389
shepherd,score=1.69828020289918
soak,score=1.69828020289918
#wisdom,score=1.69693701935272
#thankful,score=1.69391232407911
smiles,score=1.69024803120192
yaaay,score=1.68871075188303
#thankyougod,score=1.68871075188303
mahatma,score=1.68277601636322
#greatful,score=1.68277601636322
overjoyed,score=1.68277601636322
gratitude,score=1.67993106423099
capt,score=1.67580734704712
#sunny,score=1.67580734704712
#feelinggood,score=1.67580734704712
unhappiness,score=1.67580734704712
sipping,score=1.67184694583103
#presents,score=1.67184694583103
hooray,score=1.67184694583103
#giving,score=1.67184694583103
#christmas,score=1.66229748501968
rumi,score=1.65745820837893
improves,score=1.65745820837893
#dancing,score=1.65745820837893
wintery,score=1.65745820837893
#whatmakesmesmile,score=1.65745820837893
**,score=1.65745820837893
#foodie,score=1.65745820837893
#holyspirit,score=1.65745820837893
^__^,score=1.65745820837893
splendid,score=1.65745820837893
#meditation,score=1.65745820837893
marvellous,score=1.65745820837893
#munchies,score=1.65745820837893
celebratory,score=1.65745820837893
affliction,score=1.65745820837893
bliss,score=1.65745820837893
phys,score=1.65745820837893
#independent,score=1.65745820837893
elated,score=1.65745820837893
scenic,score=1.65745820837893
#family,score=1.65165688681484
chow,score=1.64219073624814
turbulence,score=1.64219073624814
#bestfeeling,score=1.64219073624814
#relieved,score=1.63902450669009
harvest,score=1.63765558108275
pho,score=1.62928733141223
pleasing,score=1.62928733141223
#creativity,score=1.62928733141223
#amman,score=1.62928733141223
devotional,score=1.62928733141223
#celebration,score=1.62928733141223
solitude,score=1.62928733141223
praises,score=1.62928733141223
vaca,score=1.62928733141223
3&lt,score=1.62174012577685
yaaaay,score=1.62174012577685
#together,score=1.62174012577685
relaxation,score=1.62174012577685
#jesus,score=1.62174012577685
reynolds,score=1.61823749522565
fireplace,score=1.61621524984488
#santa,score=1.61621524984488
#nothingbetter,score=1.6086680442095
#fuckyeah,score=1.6086680442095
#100thingsthatmakemehappy,score=1.6086680442095
carnegie,score=1.6086680442095
#humility,score=1.6086680442095
#yayy,score=1.6086680442095
#contentment,score=1.6086680442095
#skiing,score=1.6086680442095
#free,score=1.60434838306498
#energy,score=1.60029979453898
#optimism,score=1.59773897367731
#heaven,score=1.59291968724136
#happynewyear,score=1.59291968724136
#merrychristmas,score=1.59096846711009
#gifts,score=1.5804971672428
eternal,score=1.5804971672428
incense,score=1.5804971672428
laughter,score=1.5704468313893
#luckygirl,score=1.5704468313893
#wine,score=1.5704468313893
yayyyy,score=1.5704468313893
#thrilled,score=1.5704468313893
countryside,score=1.5621480285746
luncheon,score=1.5621480285746
norah,score=1.5621480285746
patter,score=1.5621480285746
#happyvalentinesday,score=1.5621480285746
treasures,score=1.5621480285746
#christian,score=1.5621480285746
#nowork,score=1.5621480285746
delighted,score=1.5621480285746
#lifetime,score=1.5621480285746
#oneday,score=1.5621480285746
sketching,score=1.5621480285746
roaring,score=1.5621480285746
explosions,score=1.5621480285746
#datenight,score=1.5621480285746
relaxing,score=1.56017369427089
#lucky,score=1.55802431139074
hiking,score=1.55517935925851
peace,score=1.55517935925851
#relax,score=1.5520976927211
#tuesday,score=1.5492446237387
#miracles,score=1.5492446237387
una,score=1.5492446237387
#bestdayever,score=1.5492446237387
#weekend,score=1.5492446237387
wilderness,score=1.5492446237387
#behappy,score=1.5492446237387
#snowing,score=1.5492446237387
#luck,score=1.5492446237387
praise,score=1.542030886415
mp3,score=1.53967517272254
#purpose,score=1.53967517272254
#sothankful,score=1.53967517272254
#cheer,score=1.53967517272254
#goodmusic,score=1.53967517272254
righteousness,score=1.53967517272254
smile,score=1.53650559796127
ty,score=1.53456007205577
#godisgood,score=1.53456007205577
#full,score=1.53229506542492
blessed,score=1.53229506542492
#glory,score=1.53229506542492
woot,score=1.52920387285525
measured,score=1.52642994597252
#cuddle,score=1.52642994597252
smiling,score=1.52245730777505
#optimistic,score=1.52165666721987
thanking,score=1.51958841415581
calming,score=1.51769626600377
ecstatic,score=1.51769626600377
iver,score=1.51769626600377
stroll,score=1.51769626600377
nyt,score=1.51150429575585
psalm,score=1.51022797139624
mountains,score=1.50412418845823
=d,score=1.50330752855167
heavenly,score=1.50180489866713
#church,score=1.50045445956926
savior,score=1.49455473744207
#friends,score=1.4935533783712
#beauty,score=1.49252839429684
grateful,score=1.48528902304899
blessings,score=1.48240941091405
#yay,score=1.48240941091405
#service,score=1.47513665158497
orchard,score=1.47513665158497
#faithful,score=1.47513665158497
conditional,score=1.47513665158497
raspberries,score=1.47513665158497
fallin,score=1.47513665158497
#dayoff,score=1.47513665158497
imperfections,score=1.47513665158497
sweetness,score=1.47513665158497
#christ,score=1.47513665158497
#patient,score=1.47513665158497
rewarding,score=1.47513665158497
#living,score=1.47513665158497
luckiest,score=1.47513665158497
#lovelovelove,score=1.47513665158497
#goals,score=1.47513665158497
reggae,score=1.47513665158497
grin,score=1.47513665158497
#marriage,score=1.47513665158497
#lovemylife,score=1.47513665158497
smiled,score=1.47513665158497
hardship,score=1.47513665158497
#live,score=1.47513665158497
#godbless,score=1.47513665158497
#running,score=1.47513665158497
snowfall,score=1.47513665158497
kiddo,score=1.47513665158497
#teamjesus,score=1.47513665158497
abundant,score=1.47513665158497
#perspective,score=1.47513665158497
#cousins,score=1.47513665158497
buddha,score=1.47513665158497
#newyear,score=1.47513665158497
#singing,score=1.47513665158497
#hugs,score=1.47513665158497
#art,score=1.47513665158497
#daymade,score=1.47513665158497
#mine,score=1.47513665158497
para,score=1.47513665158497
#lovely,score=1.47513665158497
#newstart,score=1.47513665158497
authentic,score=1.47513665158497
#na,score=1.47513665158497
#perfection,score=1.47513665158497
gently,score=1.47513665158497
#taken,score=1.47513665158497
delight,score=1.47513665158497
philippians,score=1.47513665158497
yaay,score=1.47513665158497
heheh,score=1.47513665158497
#inspiration,score=1.46890610183434
#strength,score=1.46239762580754
happiest,score=1.46053785216382
#grace,score=1.46053785216382
#quotes,score=1.45608845661428
brighter,score=1.45451736438224
#sunday,score=1.4504440389946
decorating,score=1.44846840450281
troubles,score=1.44436499291822
#tea,score=1.44234682876198
#travel,score=1.4400453317737
happier,score=1.43920464235891
wonderful,score=1.43751465979539
thankful,score=1.43739632360213
everlasting,score=1.43739632360213
yayy,score=1.43739632360213
contagious,score=1.43739632360213
gooood,score=1.43431465706472
#food,score=1.43317245248594
#love,score=1.43262343764875
#goodtimes,score=1.43257703716618
snuggled,score=1.43257703716618
malcolm,score=1.43068488901414
cuddled,score=1.42861663595008
xoxo,score=1.42634648741554
compares,score=1.42634648741554
cruising,score=1.4210694303147
#noregrets,score=1.4210694303147
flows,score=1.4210694303147
meditate,score=1.4210694303147
buffy,score=1.4210694303147
#catholic,score=1.4210694303147
unforgettable,score=1.4210694303147
#solucky,score=1.41451202976854
#break,score=1.41451202976854
lavender,score=1.41451202976854
soulful,score=1.41451202976854
#allsmiles,score=1.41451202976854
chilled,score=1.40917868379318
blessing,score=1.40864691031614
#hope,score=1.40824241675494
cozy,score=1.40614378009802
quran,score=1.40614378009802
tropical,score=1.40614378009802
ec,score=1.40614378009802
fray,score=1.40614378009802
#warm,score=1.40614378009802
#goodness,score=1.40614378009802
moonlight,score=1.40614378009802
yummy,score=1.40614378009802
unwind,score=1.40614378009802
#glad,score=1.40102867943125
positivity,score=1.40102867943125
unique,score=1.39962909907683
#goodfeeling,score=1.39509394391144
#besties,score=1.39509394391144
positively,score=1.39509394391144
#japan,score=1.39509394391144
waterfall,score=1.39509394391144
#acting,score=1.39509394391144
undergraduate,score=1.39509394391144
moo,score=1.39509394391144
#pleased,score=1.39509394391144
#rock,score=1.39509394391144
#countrymusic,score=1.39509394391144
fruits,score=1.39509394391144
#homesweethome,score=1.39509394391144
#husband,score=1.39509394391144
lovee,score=1.39509394391144
#drinks,score=1.39509394391144
yay,score=1.39480150349409
#woohoo,score=1.38812527459534
#relief,score=1.38552449289529
tweeps,score=1.38332910233185
unexplainable,score=1.37982647178065
getaway,score=1.37982647178065
#fit,score=1.37982647178065
kiddos,score=1.37982647178065
#noworries,score=1.37335395727503
gardens,score=1.36977613592715
#flowers,score=1.36977613592715
sixty,score=1.36977613592715
greeted,score=1.36977613592715
#cheers,score=1.36977613592715
fulfilling,score=1.36977613592715
#praise,score=1.36977613592715
din,score=1.36816453203281
romans,score=1.36750598739261
#perfect,score=1.36640345144851
yayyy,score=1.36593735961998
gr8,score=1.36593735961998
#laughs,score=1.35735361592859
forgiveness,score=1.35735361592859
mellow,score=1.35735361592859
#sweat,score=1.35735361592859
mistletoe,score=1.35735361592859
#silence,score=1.35735361592859
sinatra,score=1.35735361592859
fulfilled,score=1.35735361592859
w/my,score=1.35735361592859
critical,score=1.35735361592859
warms,score=1.35735361592859
#chill,score=1.35735361592859
joys,score=1.34884292626068
#sonice,score=1.34160525896045
\r,score=1.34160525896045
neutral,score=1.34160525896045
#super,score=1.34160525896045
#movingforward,score=1.34160525896045
#fun,score=1.34005687155432
rhythm,score=1.33537470920981
inner,score=1.3338231185184
#amen,score=1.3320358079443
#sober,score=1.3320358079443
#finally,score=1.33088704274043
enjoying,score=1.32186278023125
#sharing,score=1.32098597175772
#fitness,score=1.32098597175772
magnificent,score=1.32098597175772
oughta,score=1.32098597175772
loveee,score=1.32098597175772
outdoors,score=1.32098597175772
frees,score=1.32098597175772
#sosweet,score=1.32098597175772
mandarin,score=1.32098597175772
carols,score=1.32098597175772
#michigan,score=1.32098597175772
fashioned,score=1.32098597175772
102,score=1.32098597175772
chirping,score=1.32098597175772
obtain,score=1.32098597175772
lone,score=1.32098597175772
118,score=1.32098597175772
#passionate,score=1.32098597175772
cindy,score=1.32098597175772
wisdom,score=1.31972254771094
depend,score=1.3126177220872
divine,score=1.3108336002937
cocoa,score=1.3108336002937
#inspire,score=1.30808256692181
cheerful,score=1.30808256692181
strep,score=1.30808256692181
happy,score=1.30699168605728
aim,score=1.30479128583773
continuous,score=1.30328639465831
#soblessed,score=1.30328639465831
#surprises,score=1.30328639465831
classical,score=1.30328639465831
#leadership,score=1.3007832644402
spirits,score=1.29924598512131
#loved,score=1.29924598512131
candle,score=1.29851311590566
#pride,score=1.29579572292916
#xmas,score=1.29579572292916
#life,score=1.29493085801038
satisfying,score=1.29281509479102
#vacation,score=1.29281509479102
gandhi,score=1.29281509479102
sunrise,score=1.29281509479102
#memoriesiwontforget,score=1.29281509479102
#exited,score=1.29281509479102
#courage,score=1.29021431309096
#home,score=1.28673604871464
spa,score=1.28478292309375
#thankyoulord,score=1.28098063714402
hippie,score=1.28098063714402
#onelove,score=1.28098063714402
jgh,score=1.28098063714402
sublime,score=1.28098063714402
#destiny,score=1.28098063714402
compass,score=1.28098063714402
soaking,score=1.28098063714402
river,score=1.27564729116865
whoo,score=1.27446595612282
christmassy,score=1.27446595612282
refreshed,score=1.27446595612282
topped,score=1.27446595612282
clarity,score=1.27446595612282
#wonderful,score=1.26749728680673
pursue,score=1.26749728680673
#accomplished,score=1.2654161206029
#win,score=1.2654161206029
sinus,score=1.2654161206029
content,score=1.26473212604819
#healing,score=1.26382755791777
grant,score=1.2625752096013
beach,score=1.25991916554318
latte,score=1.25942807875828
#newyears,score=1.25199310027076
#california,score=1.25199310027076
beaches,score=1.25199310027076
#friendship,score=1.25199310027076
honored,score=1.25199310027076
zen,score=1.25199310027076
#stressrelief,score=1.25199310027076
bundle,score=1.25199310027076
autumn,score=1.25199310027076
scripts,score=1.25199310027076
mardi,score=1.25199310027076
satisfy,score=1.25199310027076
#iloveher,score=1.25199310027076
moons,score=1.25199310027076
#dreams,score=1.25199310027076
purring,score=1.25199310027076
#christmaseve,score=1.25199310027076
#elf,score=1.25199310027076
uncontrollable,score=1.25199310027076
#giddy,score=1.25199310027076
#wedding,score=1.25199310027076
infinitely,score=1.25199310027076
pedicure,score=1.25199310027076
porch,score=1.25199310027076
spirit,score=1.24871977492579
#shopping,score=1.24461299297314
#prayer,score=1.24402493062159
reunited,score=1.24152180040347
#winning,score=1.24029706050757
circumstances,score=1.23780846527881
consist,score=1.23780846527881
achieved,score=1.23672562813998
peacefully,score=1.23672562813998
#date,score=1.23397459476809
#comfy,score=1.23397459476809
#music,score=1.23137381306803
#buzzing,score=1.23001419355199
#honored,score=1.23001419355199
loooong,score=1.23001419355199
fruity,score=1.23001419355199
glorious,score=1.23001419355199
slopes,score=1.23001419355199
steaming,score=1.23001419355199
#2013,score=1.22730048768039
ease,score=1.22624060416835
relaxed,score=1.22567579195339
bubble,score=1.22452570557015
#share,score=1.22382222330407
layin,score=1.22382222330407
#cookies,score=1.22382222330407
in2,score=1.22382222330407
nativity,score=1.22382222330407
sequence,score=1.22382222330407
humility,score=1.22382222330407
#experience,score=1.22382222330407
#yes,score=1.22382222330407
pursuit,score=1.22382222330407
alliance,score=1.22382222330407
accomplishment,score=1.21920327744777
psalms,score=1.21920327744777
fabulous,score=1.21730754228287
goodmorning,score=1.21627501766868
crib,score=1.21277238711748
#starbucks,score=1.21277238711748
tuning,score=1.21277238711748
celebrations,score=1.21277238711748
hoo,score=1.21277238711748
enthusiasm,score=1.21277238711748
^^,score=1.21277238711748
sledding,score=1.21277238711748
^_^,score=1.21002890117173
lovely,score=1.20797621485399
celebrated,score=1.20687266499029
#romance,score=1.20320293610133
memorable,score=1.20320293610133
#gift,score=1.20320293610133
spine,score=1.20320293610133
bookstore,score=1.20320293610133
#sotrue,score=1.20320293610133
#boyfriend,score=1.20320293610133
breathtaking,score=1.20320293610133
#money,score=1.20069980588321
#heart,score=1.20069980588321
#confidence,score=1.20069980588321
praising,score=1.19888327495682
cyber,score=1.19888327495682
balcony,score=1.19642324911595
meaningful,score=1.19483468643082
mayer,score=1.19372419214679
vibes,score=1.19227386556914
nutcracker,score=1.18745457913319
despair,score=1.18745457913319
marvelous,score=1.18745457913319
todo,score=1.18745457913319
hoy,score=1.18745457913319
aura,score=1.18745457913319
breezy,score=1.18745457913319
isolated,score=1.18745457913319
#bday,score=1.18745457913319
yeahhhh,score=1.18745457913319
#greatnight,score=1.18745457913319
nag,score=1.18745457913319
enthusiastic,score=1.18745457913319
#adventure,score=1.18745457913319
#heat,score=1.18745457913319
housework,score=1.18745457913319
gesture,score=1.18745457913319
herbal,score=1.18745457913319
goofy,score=1.18745457913319
proverbs,score=1.18745457913319
reunite,score=1.18745457913319
glowing,score=1.18745457913319
einstein,score=1.18745457913319
#florida,score=1.18745457913319
essential,score=1.18745457913319
#mercy,score=1.18745457913319
celebrating,score=1.18455181947523
#beautiful,score=1.18300022878381
presence,score=1.18151984361338
whoop,score=1.18089717858703
#him,score=1.17967243869114
#coffee,score=1.17788512811704
faithfulness,score=1.17503205913464
cherish,score=1.17503205913464
canal,score=1.17503205913464
#happytweet,score=1.17285577971204
pleasure,score=1.17195039259723
#birthday,score=1.17092527718198
#lazyday,score=1.16975500203379
vince,score=1.16975500203379
corny,score=1.16975500203379
jingle,score=1.16975500203379
#wishing,score=1.16975500203379
br,score=1.16975500203379
#doctorwho,score=1.16975500203379
teresa,score=1.16975500203379
#dance,score=1.16975500203379
undergrad,score=1.16975500203379
#snowday,score=1.16975500203379
massage,score=1.16765195183701
errands,score=1.16498172328113
yesss,score=1.16276196654282
#morning,score=1.16064332168254
gospel,score=1.15668292046644
melody,score=1.15668292046644
drummer,score=1.15668292046644
calms,score=1.15668292046644
busiest,score=1.15668292046644
worthwhile,score=1.15668292046644
tiring,score=1.15668292046644
infection,score=1.15305315241586
#summer,score=1.15134957449108
#growth,score=1.14971425115035
#inspirational,score=1.14971425115035
#humbled,score=1.14663258461294
isaiah,score=1.14663258461294
#muchneeded,score=1.14663258461294
xo,score=1.14663258461294
hallelujah,score=1.14377951563053
spiritual,score=1.14243089775924
sweetest,score=1.1416450431019
tis,score=1.13866441496376
chai,score=1.13866441496376
hump,score=1.13866441496376
sunset,score=1.13526882596262
lake,score=1.13497664188458
almond,score=1.13219190045814
precious,score=1.12977546754651
negativity,score=1.12939077817843
#truelove,score=1.12939077817843
chant,score=1.12682995731676
sci,score=1.12682995731676
#unique,score=1.12682995731676
#lord,score=1.12682995731676
giggles,score=1.12682995731676
dialogue,score=1.12682995731676
wonderfully,score=1.12682995731676
midst,score=1.12682995731676
dearest,score=1.12682995731676
listenin,score=1.12682995731676
#breakfast,score=1.12682995731676
frosty,score=1.12682995731676
oct,score=1.12682995731676
canes,score=1.12682995731676
#payday,score=1.12682995731676
therapeutic,score=1.12682995731676
scripture,score=1.12682995731676
athens,score=1.12682995731676
flowing,score=1.12373876474708
silence,score=1.12115349931195
awards,score=1.12096483786436
castle,score=1.12031527629556
craziness,score=1.11846170764624
exhale,score=1.11846170764624
reindeer,score=1.11846170764624
cheered,score=1.11846170764624
lifted,score=1.11846170764624
stereo,score=1.11846170764624
jams,score=1.11846170764624
weeping,score=1.11846170764624
freshly,score=1.11846170764624
volunteering,score=1.11846170764624
dim,score=1.11846170764624
woooo,score=1.11846170764624
monica,score=1.11846170764624
magical,score=1.1161915591117
#goodmorning,score=1.11513391755357
ironing,score=1.11223115789561
giddy,score=1.11223115789561
#itscrazyhow,score=1.11223115789561
welcoming,score=1.11223115789561
attic,score=1.11223115789561
reflect,score=1.10967687809051
#goodnight,score=1.10851137679307
salvation,score=1.10741187145966
dale,score=1.10741187145966
#mind,score=1.10741187145966
awesomeness,score=1.10741187145966
#congrats,score=1.10741187145966
snowy,score=1.10538962607889
#movingon,score=1.10357309515249
drained,score=1.10357309515249
#chocolate,score=1.10357309515249
superb,score=1.10357309515249
#nostalgia,score=1.10357309515249
migraine,score=1.10193240569503
#swag,score=1.10044320214356
adventures,score=1.10044320214356
captain,score=1.09952450662649
retreat,score=1.0990854286831
