#westbank,score=1.95195360556393
#apprehension,score=1.95195360556393
#su4mh,score=1.95195360556393
#assad,score=1.54648849745577
#sweating,score=1.54648849745577
hamas,score=1.54648849745577
spaz,score=1.54648849745577
paralyze,score=1.54648849745577
#hatespiders,score=1.54648849745577
#aaaah,score=1.54648849745577
igot,score=1.54648849745577
#war,score=1.54648849745577
raccoon,score=1.54648849745577
#insomnia,score=1.54319360155891
#ocd,score=1.54065757714497
#hurryup,score=1.53812024778525
#pakistan,score=1.53751982747301
realisation,score=1.53324327070575
bombing,score=1.53324327070575
#overthinking,score=1.52295800004557
#birmingham,score=1.51663553430609
#sostressed,score=1.51663553430609
frightened,score=1.51663553430609
#headaches,score=1.51663553430609
#karachi,score=1.51663553430609
#badhabit,score=1.51012085328489
#ohgod,score=1.51012085328489
omaha,score=1.51012085328489
phoning,score=1.51012085328489
#hurry,score=1.51012085328489
#fingerscrossed,score=1.50300338551603
jerusalem,score=1.49996848182087
execution,score=1.49996848182087
northeast,score=1.49996848182087
psychological,score=1.49996848182087
vein,score=1.49996848182087
#ohshit,score=1.49996848182087
overcoming,score=1.49996848182087
#impatient,score=1.49161188722993
tryouts,score=1.4911384023726
slender,score=1.4819499763182
#gameday,score=1.4819499763182
auditions,score=1.4819499763182
crowds,score=1.4819499763182
#suicide,score=1.47652990884886
graded,score=1.47652990884886
#depression,score=1.46902274181674
targeting,score=1.46644578978223
#derrenbrown,score=1.46644578978223
intimacy,score=1.46644578978223
tryout,score=1.46644578978223
#confident,score=1.46644578978223
#trauma,score=1.46644578978223
wasp,score=1.46644578978223
composure,score=1.46644578978223
#fearless,score=1.45947712046614
#selfharm,score=1.45947712046614
attacks,score=1.45646234579805
#stressful,score=1.45411517732475
#stressing,score=1.45117831765144
psychiatrist,score=1.44112798179794
#restless,score=1.44112798179794
tmo,score=1.44112798179794
2500,score=1.44112798179794
#rockets,score=1.44112798179794
outbreak,score=1.44112798179794
keepers,score=1.44112798179794
#fob,score=1.44112798179794
#unprepared,score=1.44112798179794
#onedge,score=1.44112798179794
frequency,score=1.44112798179794
iran,score=1.44112798179794
relapse,score=1.44112798179794
overdrive,score=1.44112798179794
alligator,score=1.44112798179794
locate,score=1.44112798179794
#scream,score=1.44112798179794
#islam,score=1.43207814627802
#exam,score=1.43207814627802
attack,score=1.43026903995192
2003,score=1.42870546179938
afraid,score=1.42850085821811
#ready,score=1.4271417398232
submission,score=1.42586050966715
bomber,score=1.42586050966715
rockets,score=1.42243584878579
asteroid,score=1.42132535450176
racking,score=1.42132535450176
#hyped,score=1.42132535450176
inhaler,score=1.42132535450176
#eek,score=1.42132535450176
#bellletstalk,score=1.42132535450176
#spiders,score=1.42132535450176
2002,score=1.41295710483124
ruling,score=1.41295710483124
#un,score=1.41295710483124
furby,score=1.41295710483124
fret,score=1.41295710483124
omgomgomg,score=1.41295710483124
dawned,score=1.41295710483124
unfamiliar,score=1.41295710483124
#soready,score=1.41295710483124
#competition,score=1.41295710483124
#stillwaiting,score=1.41295710483124
spiders,score=1.41295710483124
nervy,score=1.41295710483124
#withdrawals,score=1.41295710483124
terrorists,score=1.40722643012226
eeek,score=1.40540989919586
aaaah,score=1.40540989919586
spider,score=1.39607148718056
knots,score=1.39233781762851
induced,score=1.39233781762851
shitless,score=1.39233781762851
bases,score=1.39233781762851
stigma,score=1.39233781762851
#newjob,score=1.39233781762851
impatiently,score=1.39233781762851
pacing,score=1.39233781762851
lsat,score=1.38140874709632
#ohdear,score=1.38140874709632
breakdown,score=1.37988435655722
syllabus,score=1.37658946066037
sams,score=1.37658946066037
siren,score=1.37658946066037
submitting,score=1.37658946066037
tournaments,score=1.37658946066037
scare,score=1.36850534226041
#stressed,score=1.36706654399821
hurry,score=1.3660128110521
clowns,score=1.36416694066181
#antsy,score=1.36416694066181
risky,score=1.36416694066181
admissions,score=1.36416694066181
procedure,score=1.36416694066181
#bahrain,score=1.36416694066181
regime,score=1.35411660480831
worried,score=1.35316918645227
#ahhh,score=1.35283537465226
#adhd,score=1.351179745135
#excited,score=1.35004327942068
eeeek,score=1.34581780199362
ust,score=1.34581780199362
oncoming,score=1.34581780199362
#nauseous,score=1.34581780199362
#canthandleit,score=1.34581780199362
bloomberg,score=1.34581780199362
maaan,score=1.34581780199362
suitcases,score=1.34581780199362
#bomb,score=1.34581780199362
#imagination,score=1.34581780199362
rebels,score=1.34581780199362
blackboard,score=1.34104452324096
cramming,score=1.34104452324096
#exited,score=1.33884913267752
mound,score=1.33291439715771
smiths,score=1.33291439715771
#blackout,score=1.33291439715771
gulp,score=1.33291439715771
lordy,score=1.33291439715771
flurries,score=1.33291439715771
ebook,score=1.33291439715771
#somuchtodo,score=1.33291439715771
#humanrights,score=1.33291439715771
#a&amp,score=1.33291439715771
phobia,score=1.32779929649094
deadline,score=1.32701467503052
#unsure,score=1.32334494614156
#state,score=1.32334494614156
approx,score=1.32334494614156
#needit,score=1.32334494614156
#us,score=1.32334494614156
worrying,score=1.31971517809098
thesis,score=1.31822984547479
ucas,score=1.31822984547479
paranoia,score=1.31596483884394
planner,score=1.31386620218701
#overwhelmed,score=1.31287364627426
deadlines,score=1.31009971939154
#gradschool,score=1.31009971939154
3%,score=1.31009971939154
insect,score=1.31009971939154
balance,score=1.30945015782274
internship,score=1.30532644063888
#lebanon,score=1.30532644063888
#needtoknow,score=1.30532644063888
purdue,score=1.30532644063888
stresses,score=1.30532644063888
#ohno,score=1.30325818757482
afghan,score=1.30136603942278
911,score=1.30136603942278
#ahhhhh,score=1.29802713815727
crisis,score=1.29802713815727
submitted,score=1.29607781980122
gaza,score=1.29389774481526
passport,score=1.29270797667967
irrational,score=1.29055512331857
stressing,score=1.29055512331857
mri,score=1.28547467208615
presenting,score=1.28412423298828
#ahhhh,score=1.28290397658305
appearing,score=1.28179594322869
sinking,score=1.27822451086109
emergency,score=1.27590085836329
#insomniac,score=1.25880642500399
#sleepless,score=1.25880642500399
aahhh,score=1.25880642500399
hesitation,score=1.25880642500399
paralyzed,score=1.25880642500399
attach,score=1.25880642500399
pressies,score=1.25880642500399
israelis,score=1.25880642500399
escaped,score=1.25880642500399
moths,score=1.25880642500399
#psyched,score=1.25880642500399
wks,score=1.25880642500399
undecided,score=1.25880642500399
2weeks,score=1.25880642500399
#asap,score=1.25880642500399
shaky,score=1.25880642500399
scarier,score=1.25880642500399
external,score=1.25880642500399
inspection,score=1.25880642500399
freaked,score=1.25880642500399
#5days,score=1.25880642500399
#notready,score=1.25880642500399
hurricanes,score=1.25880642500399
#overtired,score=1.25880642500399
#terrifying,score=1.25880642500399
applied,score=1.25880642500399
gre,score=1.25880642500399
#boston,score=1.25880642500399
nbd,score=1.25880642500399
groom,score=1.25880642500399
vengeance,score=1.25880642500399
moth,score=1.25880642500399
stocked,score=1.25880642500399
guidelines,score=1.25880642500399
#deadlines,score=1.25880642500399
planes,score=1.25880642500399
standstill,score=1.25880642500399
bridges,score=1.25880642500399
munchkin,score=1.25880642500399
tarantula,score=1.25880642500399
khalifa,score=1.25880642500399
dangerously,score=1.25880642500399
gameday,score=1.25880642500399
#nightmare,score=1.25880642500399
unorganised,score=1.25880642500399
scrimmage,score=1.25880642500399
#hopeful,score=1.25880642500399
approaches,score=1.25880642500399
#syria,score=1.25880642500399
#turkey,score=1.25880642500399
masks,score=1.25880642500399
overslept,score=1.25880642500399
feathers,score=1.25880642500399
grades,score=1.25543374052535
nightmares,score=1.25188598215941
#help,score=1.24280608365755
rejection,score=1.24045728633579
#bipolar,score=1.23730021978302
colleges,score=1.23527592759379
snakes,score=1.23411381241362
chased,score=1.23283093860073
application,score=1.23063554803729
audition,score=1.226016602181
oral,score=1.22243878083311
surgery,score=1.21880109039029
mild,score=1.21798443048373
portfolio,score=1.21798443048373
prepping,score=1.21798443048373
#countdown,score=1.21624681058519
#cantbreathe,score=1.21435466243315
ahhhhhh,score=1.21435466243315
hives,score=1.21435466243315
islamic,score=1.21001626083455
#uk,score=1.21001626083455
clinical,score=1.20751313061644
racing,score=1.20643843948667
tumor,score=1.20473920373371
dentists,score=1.20473920373371
rapidly,score=1.20473920373371
registration,score=1.19996592498105
butterflies,score=1.19996592498105
withdrawals,score=1.19818180318755
departure,score=1.19818180318755
shortage,score=1.19818180318755
obsessing,score=1.19818180318755
boxed,score=1.19818180318755
looming,score=1.19818180318755
meltdown,score=1.19818180318755
stressful,score=1.1958316258426
passenger,score=1.19562752338245
#results,score=1.18981355351704
footsteps,score=1.18981355351704
districts,score=1.18981355351704
manic,score=1.18981355351704
overthinking,score=1.18981355351704
increasingly,score=1.18981355351704
#hurricane,score=1.18981355351704
#hanging,score=1.18981355351704
31st,score=1.18981355351704
cosby,score=1.18981355351704
#herewego,score=1.18981355351704
#doubt,score=1.18469845285026
needles,score=1.18469845285026
crossfit,score=1.17876371733045
coasters,score=1.17876371733045
paso,score=1.17876371733045
#youth,score=1.17876371733045
sprinting,score=1.17876371733045
reporters,score=1.17876371733045
o__o,score=1.17876371733045
scaring,score=1.17876371733045
#unknown,score=1.17876371733045
#whatif,score=1.17876371733045
#ahhhhhh,score=1.17876371733045
blackpool,score=1.17876371733045
halt,score=1.17876371733045
#corruption,score=1.17876371733045
pleas,score=1.17876371733045
roosevelt,score=1.17876371733045
briefly,score=1.17876371733045
#crime,score=1.17876371733045
shutdown,score=1.17876371733045
#thatmoment,score=1.17876371733045
#run,score=1.17876371733045
#ahh,score=1.17328425156582
dissertation,score=1.17094506921265
stressed,score=1.17051381785831
results,score=1.1644436635557
hostage,score=1.16349624519966
presentations,score=1.16349624519966
drs,score=1.16349624519966
#senioryear,score=1.16349624519966
terrorism,score=1.16349624519966
#graduation,score=1.16349624519966
medication,score=1.16349624519966
alternative,score=1.158722966447
breaths,score=1.15702373069404
#waiting,score=1.15594903956428
scenarios,score=1.15344590934616
68,score=1.15344590934616
fright,score=1.15344590934616
#blood,score=1.15344590934616
organised,score=1.15344590934616
freak,score=1.15192267980564
surgeon,score=1.14960713303899
motorway,score=1.14960713303899
israel,score=1.14880552978966
scores,score=1.14814085711647
nightmare,score=1.14780964903196
graduation,score=1.14758078989376
#wideawake,score=1.14758078989376
agh,score=1.14758078989376
interview,score=1.14730284483245
horrifying,score=1.1410233893476
#horror,score=1.1410233893476
fir,score=1.1410233893476
#volleyball,score=1.1410233893476
#eager,score=1.1410233893476
#icant,score=1.1410233893476
#fears,score=1.1410233893476
transcript,score=1.1410233893476
dentist,score=1.13875838271675
dreamt,score=1.13691660739495
knot,score=1.13519246903681
#over,score=1.13364328204998
flashbacks,score=1.13364328204998
#moving,score=1.12527503237946
clinicals,score=1.12527503237946
1030,score=1.12527503237946
jumpy,score=1.12527503237946
unfinished,score=1.12527503237946
#playoffs,score=1.12527503237946
prescribed,score=1.12527503237946
coffin,score=1.12527503237946
occupation,score=1.12527503237946
#communication,score=1.12527503237946
#cdnpoli,score=1.12527503237946
#cantwait,score=1.1220474878886
revised,score=1.11904448262883
universities,score=1.11904448262883
targets,score=1.11904448262883
ahhhhhhh,score=1.11570558136331
#uhoh,score=1.11362441515949
orientation,score=1.11220295081211
scary,score=1.11067623295831
overcome,score=1.11038641988571
submit,score=1.11038641988571
hopefully,score=1.11026371297102
wahhhh,score=1.10465574517673
reducing,score=1.10465574517673
alpha,score=1.10465574517673
tally,score=1.10465574517673
#freakedout,score=1.10465574517673
interior,score=1.10465574517673
#destruction,score=1.10465574517673
calender,score=1.10465574517673
suspected,score=1.10465574517673
underestimated,score=1.10465574517673
scenario,score=1.10465574517673
snowmobile,score=1.10465574517673
desperation,score=1.10465574517673
#usa,score=1.10465574517673
slippery,score=1.10465574517673
kidnapped,score=1.10465574517673
heavier,score=1.10465574517673
ticketmaster,score=1.10465574517673
#hardcore,score=1.10465574517673
2b,score=1.10465574517673
ocd,score=1.0991762794121
scan,score=1.09846377492881
bottles,score=1.09628749550621
module,score=1.09628749550621
phew,score=1.09628749550621
simultaneously,score=1.09175234034082
fsu,score=1.09175234034082
smoothly,score=1.09175234034082
terrorist,score=1.08890738820859
nigh,score=1.08695616807733
tragus,score=1.08695616807733
royce,score=1.08695616807733
130,score=1.08695616807733
#worstfeeling,score=1.08695616807733
sponsored,score=1.08695616807733
grad,score=1.08408946759525
assessment,score=1.08386497550765
dreaded,score=1.08291575854032
#dentist,score=1.08291575854032
permit,score=1.08112524776653
#nanowrimo,score=1.07648486821003
#hatethem,score=1.07648486821003
therapist,score=1.07159488291584
shaking,score=1.07075419350105
dreading,score=1.07021525519644
ultrasound,score=1.06956442536546
#cantsleep,score=1.06691541719388
#indecisive,score=1.06465041056303
occurs,score=1.06465041056303
#flu,score=1.06465041056303
torch,score=1.06465041056303
2moro,score=1.06465041056303
mailman,score=1.06465041056303
uga,score=1.06465041056303
mona,score=1.06465041056303
inadequate,score=1.06465041056303
#tooexcited,score=1.06465041056303
#payday,score=1.06465041056303
stake,score=1.06465041056303
pounding,score=1.06306184787789
essence,score=1.05813572954184
#apocalypse,score=1.05813572954184
b&amp,score=1.05813572954184
register,score=1.05401201235797
clown,score=1.05401201235797
#murder,score=1.05401201235797
snooze,score=1.05116706022574
conquer,score=1.05116706022574
#praying,score=1.04824165589664
#determined,score=1.04749733133678
hopeless,score=1.04523232470593
presentation,score=1.0413126062319
partially,score=1.03566287368978
interaction,score=1.03566287368978
heh,score=1.03566287368978
tracker,score=1.03566287368978
cvs,score=1.03566287368978
#letsgo,score=1.03566287368978
bricks,score=1.03566287368978
seatbelt,score=1.03566287368978
tragedies,score=1.03566287368978
weighing,score=1.03566287368978
#ldr,score=1.03566287368978
duties,score=1.03566287368978
usb,score=1.03566287368978
wrenching,score=1.03566287368978
prospect,score=1.03566287368978
manila,score=1.03566287368978
housing,score=1.03566287368978
accessories,score=1.03566287368978
nerves,score=1.03386269318563
10%,score=1.02700481094666
plane,score=1.02537118765323
supplies,score=1.02241764693976
glued,score=1.02241764693976
applications,score=1.02147823869782
registering,score=1.0176443681871
deposit,score=1.0176443681871
#notime,score=1.013683966971
washes,score=1.013683966971
restless,score=1.01194634707246
crossing,score=1.00899462660762
striking,score=1.00749199672308
#soon,score=1.00749199672308
aaa,score=1.00749199672308
gahhhh,score=1.00749199672308
#sweat,score=1.00749199672308
#news,score=1.00749199672308
#ice,score=1.00749199672308
#suspense,score=1.00749199672308
chronic,score=1.00749199672308
guise,score=1.00749199672308
suspense,score=1.00749199672308
publish,score=1.00749199672308
chest,score=1.00706799841272
overwhelmed,score=1.00535752419445
incase,score=1.00287305086679
sinister,score=1.00287305086679
region,score=1.00097731570189
packer,score=0.996442160536496
junction,score=0.996442160536496
adrenaline,score=0.996442160536496
disorders,score=0.996442160536496
patiently,score=0.993698674590745
#stoked,score=0.991491655376639
tomo,score=0.990542438409307
invasion,score=0.986872709520345
afghanistan,score=0.986872709520345
residence,score=0.986872709520345
ambulance,score=0.982553048375828
paranormal,score=0.981174688405707
#scary,score=0.980093022534966
controlled,score=0.980093022534966
hotter,score=0.978504459849828
exam,score=0.977196415189813
disorder,score=0.97657395731977
#exams,score=0.975038251873342
rearranged,score=0.971124352552206
#allah,score=0.971124352552206
#election,score=0.971124352552206
fingernail,score=0.971124352552206
espresso,score=0.971124352552206
internships,score=0.971124352552206
hoy,score=0.971124352552206
raid,score=0.971124352552206
symptoms,score=0.971124352552206
#act,score=0.971124352552206
earthquake,score=0.971124352552206
shiver,score=0.971124352552206
timed,score=0.971124352552206
deathly,score=0.971124352552206
lease,score=0.971124352552206
430,score=0.971124352552206
#darkness,score=0.971124352552206
slips,score=0.971124352552206
bitten,score=0.971124352552206
#tennis,score=0.971124352552206
proofs,score=0.971124352552206
#anticipating,score=0.971124352552206
pala,score=0.971124352552206
yest,score=0.971124352552206
notion,score=0.971124352552206
pill,score=0.967454623663243
rocket,score=0.96710020225248
#sandy,score=0.965458615016528
stress,score=0.963444665877978
yikes,score=0.961554901536055
biting,score=0.96058684724942
interviews,score=0.959824797298272
#screwed,score=0.958701832553648
airports,score=0.958701832553648
firing,score=0.958701832553648
mayans,score=0.958701832553648
omw,score=0.958701832553648
mental,score=0.958355751913406
#helpme,score=0.95733103041987
airplane,score=0.953424775452805
nasa,score=0.953424775452805
virtue,score=0.953424775452805
logical,score=0.953424775452805
arrive,score=0.953424775452805
flashback,score=0.953424775452805
#killing,score=0.953424775452805
wed,score=0.953424775452805
comics,score=0.953424775452805
uw,score=0.953424775452805
#texas,score=0.953424775452805
meds,score=0.952076157581511
crawling,score=0.95050506534947
faster,score=0.950259214088244
#hype,score=0.948651496700147
misplaced,score=0.948651496700147
holds,score=0.947370266544099
icy,score=0.946431739961834
ahhhhh,score=0.94246909679183
#rejection,score=0.940352693885452
todayy,score=0.940352693885452
verdict,score=0.940352693885452
calms,score=0.940352693885452
tatted,score=0.940352693885452
#media,score=0.940352693885452
wahhh,score=0.940352693885452
#stuck,score=0.940352693885452
wahh,score=0.940352693885452
folder,score=0.940352693885452
palms,score=0.940352693885452
sirens,score=0.940352693885452
offices,score=0.940352693885452
blazer,score=0.940352693885452
#storm,score=0.940352693885452
#religion,score=0.940352693885452
overload,score=0.940352693885452
4%,score=0.940352693885452
hoping,score=0.938670607702467
tomorrows,score=0.937222800876524
disco,score=0.935019347910089
#butterflies,score=0.935019347910089
prelims,score=0.933384024569359
preparation,score=0.933384024569359
hairdressers,score=0.933384024569359
outfit,score=0.932329728214453
coats,score=0.930302358031951
fbi,score=0.930302358031951
remedy,score=0.930302358031951
tossing,score=0.930302358031951
whew,score=0.930302358031951
#chills,score=0.930302358031951
#hoping,score=0.927449289049544
#comeon,score=0.927449289049544
interviewed,score=0.927449289049544
nursing,score=0.923958884109775
admission,score=0.922334188382774
#nosleep,score=0.922334188382774
anticipation,score=0.922334188382774
sample,score=0.922334188382774
explosion,score=0.922334188382774
approaching,score=0.922334188382774
mailed,score=0.922334188382774
#black,score=0.922334188382774
waiting,score=0.921710343076172
venting,score=0.917879838033393
drill,score=0.91705713128193
dyed,score=0.915861673877156
sweating,score=0.914710263272114
alert,score=0.914710263272114
refreshing,score=0.913965938712257
calendar,score=0.913965938712257
checking,score=0.9109111687173
toothache,score=0.910499730735771
hermit,score=0.910499730735771
chaotic,score=0.910499730735771
ibiza,score=0.910499730735771
slid,score=0.910499730735771
uf,score=0.910499730735771
embassy,score=0.910499730735771
#dilemma,score=0.910499730735771
swallowed,score=0.910499730735771
#idkwhy,score=0.910499730735771
bulb,score=0.910499730735771
courageous,score=0.910499730735771
ss,score=0.910499730735771
timothy,score=0.910499730735771
67,score=0.910499730735771
#tense,score=0.910499730735771
separation,score=0.910499730735771
pressure,score=0.908323451313175
flight,score=0.905448233691248
appointment,score=0.904086515901058
portal,score=0.902131481065254
sem,score=0.902131481065254
exhale,score=0.902131481065254
subtle,score=0.902131481065254
merp,score=0.902131481065254
#insecure,score=0.902131481065254
sinks,score=0.902131481065254
#screaming,score=0.902131481065254
overhead,score=0.902131481065254
#violence,score=0.902131481065254
ahs,score=0.902131481065254
#leggo,score=0.902131481065254
entrance,score=0.902131481065254
praying,score=0.899432424096089
#future,score=0.89880369097258
nearest,score=0.895900931314618
