#agitated,score=1.42991541495012
#roar,score=1.42991541495012
#rollingstones,score=1.31213237929374
directv,score=1.31213237929374
#doone,score=1.31213237929374
#pissingmeoff,score=1.31213237929374
roadworks,score=1.31213237929374
indecisive,score=1.30475227199611
#rage,score=1.30346230590919
#blackops,score=1.2963840223256
f**king,score=1.2963840223256
stubbed,score=1.2963840223256
#angermanagement,score=1.2963840223256
#mug,score=1.2963840223256
#dramaqueen,score=1.2963840223256
#urg,score=1.2963840223256
#shitday,score=1.2963840223256
#gotobed,score=1.2963840223256
#ironman,score=1.2963840223256
#backoff,score=1.2963840223256
#arseholes,score=1.2963840223256
angered,score=1.2963840223256
#makeupyourmind,score=1.2963840223256
#imtryingtosleep,score=1.2963840223256
keyed,score=1.2963840223256
patronising,score=1.2963840223256
#ringette,score=1.2963840223256
queues,score=1.2963840223256
bellends,score=1.2963840223256
grrrrrrrr,score=1.2963840223256
wdf,score=1.2963840223256
taxed,score=1.2963840223256
#roadrage,score=1.28149540983185
punching,score=1.27652896901562
#riots,score=1.27576473512286
shup,score=1.27576473512286
#bitchtweet,score=1.27576473512286
preposterous,score=1.27576473512286
#grrrr,score=1.27576473512286
#punch,score=1.27576473512286
#ridic,score=1.27576473512286
snubbed,score=1.27576473512286
peeved,score=1.27576473512286
#waaa,score=1.27576473512286
suede,score=1.27576473512286
#aggy,score=1.27576473512286
lye,score=1.27576473512286
#fs,score=1.27576473512286
repost,score=1.27576473512286
#attentionseekers,score=1.27576473512286
hateeee,score=1.27576473512286
#disapointment,score=1.27576473512286
things&lt,score=1.27576473512286
shazam,score=1.27576473512286
restarts,score=1.27576473512286
#dontlikeyou,score=1.27576473512286
irritate,score=1.27576473512286
#bellends,score=1.27576473512286
#irritation,score=1.27576473512286
#effyou,score=1.27576473512286
disconnects,score=1.27576473512286
#fuming,score=1.27576473512286
#justthebeginning,score=1.27576473512286
#stupidrain,score=1.27576473512286
#fumin,score=1.27576473512286
#livid,score=1.27375468419484
#wankers,score=1.26739648545234
#mobile,score=1.26739648545234
#pissoff,score=1.26561236365884
rigged,score=1.26286133028695
sodding,score=1.26286133028695
anger,score=1.25790711772285
#pisstake,score=1.25556202780534
contradict,score=1.24759385815616
infuriated,score=1.24759385815616
annoyin,score=1.24759385815616
arseholes,score=1.24759385815616
#venting,score=1.24067341531159
frustrates,score=1.24067341531159
#rawr,score=1.23886017818741
#pissedoff,score=1.23770909892362
#somad,score=1.23754352230266
smudge,score=1.23575940050916
accumulator,score=1.23575940050916
#stupidity,score=1.23575940050916
poxy,score=1.23575940050916
furious,score=1.23507563979876
fuxking,score=1.22924471948797
#madtweet,score=1.22924471948797
#resentment,score=1.22924471948797
bint,score=1.22924471948797
grrrrr,score=1.22631645970888
#yelling,score=1.22512100230411
#meow,score=1.22227605017187
pisses,score=1.21202910443388
#lyricsweallknow,score=1.20677186363591
#thief,score=1.20677186363591
#dontunderstand,score=1.20677186363591
puncture,score=1.20677186363591
punctual,score=1.20677186363591
misspell,score=1.20677186363591
annoyance,score=1.20677186363591
#pest,score=1.20677186363591
stoopid,score=1.20677186363591
fussy,score=1.20677186363591
infuriates,score=1.20677186363591
eczema,score=1.20677186363591
printers,score=1.20677186363591
shittest,score=1.20677186363591
grumble,score=1.20677186363591
#agh,score=1.20677186363591
2days,score=1.20677186363591
#aggression,score=1.20677186363591
grr,score=1.20379123549777
livid,score=1.20252557275446
strangle,score=1.20165676296914
fuming,score=1.19989898434815
punch,score=1.19986734828936
grrr,score=1.19973783697853
#shutup,score=1.19089851447962
#dicks,score=1.18875335813323
#dickhead,score=1.18875335813323
#outraged,score=1.18479295691713
#frustration,score=1.18260579778873
angry,score=1.18192910250545
#stfu,score=1.1793044689353
noob,score=1.17860098666921
abita,score=1.17860098666921
#stupidpeople,score=1.17860098666921
mucked,score=1.17860098666921
#move,score=1.17860098666921
mxm,score=1.17860098666921
chipping,score=1.17860098666921
#stayaway,score=1.17860098666921
#boxing,score=1.17860098666921
#shutit,score=1.17860098666921
#bargaining,score=1.17860098666921
recorder,score=1.17860098666921
foaming,score=1.17860098666921
horseshit,score=1.17860098666921
worded,score=1.17860098666921
#injustice,score=1.17860098666921
grrrrrrr,score=1.17860098666921
putt,score=1.17860098666921
#arghh,score=1.17860098666921
insists,score=1.17860098666921
boyfriend/girlfriend,score=1.17860098666921
#stuckup,score=1.17860098666921
staticky,score=1.17860098666921
#dpmo,score=1.17860098666921
#heated,score=1.17502316532133
grrrr,score=1.17208630564802
#hadenough,score=1.16755115048263
#hr,score=1.16755115048263
verbally,score=1.16755115048263
spammers,score=1.16755115048263
autocorrect,score=1.16755115048263
irritation,score=1.16755115048263
enraged,score=1.16755115048263
#argh,score=1.16522286072304
annoys,score=1.15979165471172
hostile,score=1.15798169946648
unleash,score=1.15798169946648
frustrating,score=1.15602666463067
shutup,score=1.1512020124811
temper,score=1.1512020124811
#leavemealone,score=1.14901302948372
stfu,score=1.14687372205484
rage,score=1.14349041368839
feisty,score=1.14223334249834
stomped,score=1.14223334249834
curriculum,score=1.14223334249834
flares,score=1.14223334249834
barge,score=1.14223334249834
feminism,score=1.14223334249834
#somethingigetalot,score=1.14223334249834
whitby,score=1.14223334249834
#pissesmeoff,score=1.14223334249834
colchester,score=1.14223334249834
^mj,score=1.14223334249834
#pleaseandthankyou,score=1.14223334249834
poachers,score=1.14223334249834
resent,score=1.14223334249834
diabolical,score=1.14223334249834
#hatesnow,score=1.14223334249834
#wannasleep,score=1.14223334249834
exclamation,score=1.14223334249834
interrupts,score=1.14223334249834
#as,score=1.14223334249834
aggressively,score=1.14223334249834
#rampage,score=1.14223334249834
#howtopissagirloff,score=1.14223334249834
landlords,score=1.14223334249834
fife,score=1.14223334249834
20mph,score=1.14223334249834
#girlprobs,score=1.14223334249834
#longhair,score=1.14223334249834
spedi,score=1.14223334249834
#cantstandit,score=1.14223334249834
#nonsense,score=1.14223334249834
fuuuuuck,score=1.14223334249834
galatasaray,score=1.14223334249834
#cantwin,score=1.14223334249834
#arghhhh,score=1.14223334249834
favours,score=1.14223334249834
swiped,score=1.14223334249834
#waystomakememad,score=1.14223334249834
#fuckeveryone,score=1.14223334249834
specify,score=1.14223334249834
dented,score=1.14223334249834
fuckkkk,score=1.14223334249834
#nonstop,score=1.14223334249834
angriest,score=1.14223334249834
pedestrians,score=1.14223334249834
#tiredofit,score=1.14223334249834
#gofuckyourself,score=1.14223334249834
butted,score=1.14223334249834
misuse,score=1.14223334249834
lacey,score=1.14223334249834
lorries,score=1.14223334249834
#bitchmode,score=1.14223334249834
sofas,score=1.14223334249834
#gahhh,score=1.14223334249834
ugggh,score=1.14223334249834
pokes,score=1.14223334249834
#thanksalot,score=1.14223334249834
prams,score=1.14223334249834
#humour,score=1.14223334249834
pissed,score=1.1371909297974
#fucksake,score=1.13364959880695
beep,score=1.13364959880695
angers,score=1.13142242639412
#watchout,score=1.12981082249978
pissin,score=1.12763454307719
#cunts,score=1.12763454307719
#idiots,score=1.12570404054713
hulk,score=1.12542622418196
sod,score=1.12453376539894
irritated,score=1.12136820403438
#hatethat,score=1.11976048664628
h8,score=1.11976048664628
#fuckoff,score=1.11736527592032
pissing,score=1.11483436831022
frustrated,score=1.11208030432765
refill,score=1.11146168383158
#hatepeople,score=1.11146168383158
#cross,score=1.11146168383158
sellotape,score=1.11146168383158
#fights,score=1.11146168383158
#piss,score=1.11146168383158
beeping,score=1.11146168383158
#brrr,score=1.11146168383158
ontop,score=1.11146168383158
#giveup,score=1.11146168383158
agitated,score=1.11146168383158
unhelpful,score=1.11146168383158
ticked,score=1.11146168383158
hammering,score=1.10449301451549
#whatsthepoint,score=1.10449301451549
pish,score=1.10449301451549
#pissed,score=1.10084812633548
#frustrated,score=1.09979974408374
#shutthefuckup,score=1.09967372807954
irritating,score=1.09738277633299
#geez,score=1.09344317832891
#hunger,score=1.09344317832891
faulty,score=1.09344317832891
#whatmadememadasakid,score=1.09344317832891
#sopissed,score=1.09344317832891
tantrum,score=1.09344317832891
#pieceofshit,score=1.09344317832891
#wanker,score=1.09344317832891
#mad,score=1.09344317832891
twats,score=1.08363917823229
#unfollow,score=1.0816087206819
pout,score=1.0816087206819
barks,score=1.07851752811223
annoyed,score=1.07378557868365
cliffhanger,score=1.07324047101139
#metal,score=1.07324047101139
heavyweight,score=1.07324047101139
refunded,score=1.07324047101139
them&lt,score=1.07324047101139
#thor,score=1.07324047101139
grump,score=1.07324047101139
imessages,score=1.07324047101139
#packed,score=1.07324047101139
clicker,score=1.07324047101139
#arguments,score=1.07324047101139
unreliable,score=1.07324047101139
inbetween,score=1.07324047101139
lasses,score=1.07324047101139
cretins,score=1.07324047101139
#peeved,score=1.07324047101139
#frustrating,score=1.07324047101139
ovaries,score=1.07324047101139
footed,score=1.07324047101139
bitchin,score=1.07324047101139
kuz,score=1.07324047101139
douchebags,score=1.07324047101139
controllers,score=1.07324047101139
inefficient,score=1.07324047101139
#vent,score=1.07324047101139
breakout,score=1.07324047101139
#cow,score=1.07324047101139
#twofaced,score=1.07324047101139
prick,score=1.07250000448366
interrupt,score=1.06890206941279
adverts,score=1.06890206941279
annoy,score=1.06834450039918
#bs,score=1.06700992126075
#fedup,score=1.06398114559859
beeps,score=1.0621906348248
#dumbbitch,score=1.0621906348248
peice,score=1.0621906348248
#ragetweet,score=1.0621906348248
tirade,score=1.0621906348248
#autocorrect,score=1.0621906348248
#bastards,score=1.0621906348248
#screwyou,score=1.0621906348248
#soangry,score=1.0621906348248
4od,score=1.0621906348248
selfishness,score=1.0621906348248
trumpet,score=1.0621906348248
#areyoukiddingme,score=1.0621906348248
overrun,score=1.0621906348248
brat,score=1.06016838944403
#aggravated,score=1.05835185851764
nosey,score=1.05835185851764
wankers,score=1.05724012966495
#nobodycares,score=1.05522196550871
#hatred,score=1.05522196550871
cords,score=1.05522196550871
#letmesleep,score=1.05522196550871
twitching,score=1.05310556260233
gears,score=1.05184928103007
#ffs,score=1.05147897922987
dangit,score=1.05042579324522
hostility,score=1.05042579324522
hotmail,score=1.05042579324522
notify,score=1.05042579324522
retards,score=1.05042579324522
#spam,score=1.05042579324522
annoying,score=1.04863110503917
irritates,score=1.04854785842102
#salty,score=1.04692316269401
#annoyed,score=1.04572040545969
fricking,score=1.04425293413813
#nothappy,score=1.04368166876984
busses,score=1.04214988394136
incompetent,score=1.04214988394136
tyre,score=1.04214988394136
rant,score=1.03814915120012
crumbs,score=1.0378733271741
twat,score=1.03445039017654
#upset,score=1.03303405053335
itchy,score=1.03156777461082
arriva,score=1.02445030684195
halifax,score=1.02445030684195
#thatsthatshitidontlike,score=1.02445030684195
stair,score=1.02445030684195
________,score=1.02445030684195
aaj,score=1.02445030684195
#tool,score=1.02445030684195
straighteners,score=1.02445030684195
wycombe,score=1.02445030684195
handwritten,score=1.02445030684195
irritable,score=1.02445030684195
fkin,score=1.02445030684195
#manly,score=1.02445030684195
tfl,score=1.02445030684195
angrier,score=1.02445030684195
#unfair,score=1.02445030684195
unplug,score=1.02445030684195
dice,score=1.02445030684195
growls,score=1.02445030684195
geezer,score=1.02445030684195
#ughhhh,score=1.02445030684195
eyelid,score=1.02445030684195
pouting,score=1.02445030684195
outbid,score=1.02445030684195
#fucker,score=1.02445030684195
frustrations,score=1.02445030684195
untrue,score=1.02445030684195
f***ing,score=1.02445030684195
tonsillitis,score=1.02445030684195
#growthefuckup,score=1.02445030684195
hiccuping,score=1.02445030684195
fucktard,score=1.02445030684195
#notamorningperson,score=1.02445030684195
uninvited,score=1.02445030684195
fucc,score=1.02445030684195
#4pics1word,score=1.02445030684195
honk,score=1.02445030684195
b*tch,score=1.02445030684195
#soslow,score=1.02445030684195
#soannoyed,score=1.02445030684195
#competitive,score=1.02445030684195
cussed,score=1.02445030684195
bedside,score=1.02445030684195
yodel,score=1.02445030684195
#somepeople,score=1.02445030684195
facking,score=1.02445030684195
fucksake,score=1.02445030684195
yanno,score=1.02445030684195
strangled,score=1.02445030684195
castrate,score=1.02445030684195
ww3,score=1.02445030684195
whiny,score=1.02445030684195
twitchy,score=1.02445030684195
mofos,score=1.02445030684195
earing,score=1.02445030684195
#kthanks,score=1.02445030684195
#inconvenient,score=1.02445030684195
soppy,score=1.02445030684195
df,score=1.02445030684195
caller,score=1.02445030684195
friggen,score=1.02445030684195
#retarded,score=1.02445030684195
#hassle,score=1.02445030684195
sux,score=1.02445030684195
#firstworldprobs,score=1.02445030684195
cattle,score=1.02445030684195
rewrite,score=1.02445030684195
twisting,score=1.02445030684195
#mexican,score=1.02445030684195
#areyoukidding,score=1.02445030684195
#nopoint,score=1.02445030684195
#getoveryourself,score=1.02445030684195
blatantly,score=1.02445030684195
advisors,score=1.02445030684195
irate,score=1.02445030684195
#godie,score=1.02445030684195
knuckles,score=1.02445030684195
#jerks,score=1.02445030684195
night&lt,score=1.02445030684195
dryers,score=1.02445030684195
tackled,score=1.02445030684195
calum,score=1.02445030684195
giv,score=1.02445030684195
unfollows,score=1.02445030684195
#burn,score=1.02445030684195
wakeup,score=1.02445030684195
irks,score=1.02445030684195
controller,score=1.02445030684195
#getoverit,score=1.02445030684195
interrupting,score=1.02445030684195
#soaked,score=1.02445030684195
technician,score=1.02445030684195
sunburn,score=1.02445030684195
#hateher,score=1.02445030684195
suttin,score=1.02445030684195
workmen,score=1.02445030684195
modem,score=1.02445030684195
#arsehole,score=1.02445030684195
forgetful,score=1.02445030684195
#sheep,score=1.02445030684195
flanagan,score=1.02445030684195
#yousuck,score=1.02445030684195
#hateyou,score=1.01635309660934
smash,score=1.0156396771598
tyson,score=1.01439997098845
#prick,score=1.01302161101833
hiccups,score=1.01240196832578
#juststop,score=1.01218021425014
#revenge,score=1.01218021425014
#men,score=1.01006156938986
static,score=1.00870194987382
hassle,score=1.00870194987382
insist,score=1.00818978597017
#twat,score=1.00610116817376
punched,score=1.00456893628813
#petpeeve,score=1.00339689764412
wrath,score=1.00247140012318
grouchy,score=1.00247140012318
#moody,score=0.999132498857665
#assholes,score=0.999132498857665
#boreoff,score=0.999132498857665
unreasonable,score=0.999132498857665
#twats,score=0.999132498857665
ppi,score=0.999132498857665
piss,score=0.999044783406532
cunts,score=0.998474820438694
#loud,score=0.995251152149692
#sarcastictweet,score=0.994597343692274
#control,score=0.994597343692274
#issues,score=0.994597343692274
#attitude,score=0.994597343692274
barking,score=0.994597343692274
broadband,score=0.991660484018964
unfollowing,score=0.990548755166273
frustration,score=0.989603575511787
conclusions,score=0.98808266267108
fgs,score=0.98808266267108
#imtired,score=0.98808266267108
#saidnooneever,score=0.98808266267108
unavailable,score=0.98808266267108
aggravated,score=0.98808266267108
#goddamn,score=0.98808266267108
squeaking,score=0.98808266267108
angrily,score=0.98808266267108
wna,score=0.98808266267108
lending,score=0.98808266267108
growl,score=0.9836283123217
#notinthemood,score=0.9836283123217
#cunt,score=0.9836283123217
#sortitout,score=0.9836283123217
pricks,score=0.980965194902216
hacked,score=0.979498918979689
isit,score=0.977930291207062
statuses,score=0.977930291207062
sake,score=0.977930291207062
#sohard,score=0.977930291207062
#enough,score=0.977930291207062
employer,score=0.977930291207062
rota,score=0.977930291207062
#irritating,score=0.977930291207062
#distraught,score=0.977930291207062
ea,score=0.977930291207062
shrunk,score=0.977930291207062
aboot,score=0.977930291207062
refunds,score=0.977930291207062
assed,score=0.977930291207062
bloomin,score=0.977930291207062
tempered,score=0.977930291207062
midday,score=0.977930291207062
pent,score=0.977930291207062
rampage,score=0.977930291207062
fiery,score=0.977930291207062
favouriting,score=0.977930291207062
scrooge,score=0.977930291207062
f******,score=0.977930291207062
betch,score=0.977930291207062
advising,score=0.977930291207062
invalid,score=0.977930291207062
spam,score=0.977930291207062
wits,score=0.977930291207062
#ihatewhen,score=0.977930291207062
dickheads,score=0.977930291207062
20minutes,score=0.977930291207062
#sodumb,score=0.977930291207062
itches,score=0.970383085571679
#fu,score=0.970383085571679
#grumpy,score=0.96910021175879
varnish,score=0.967291893002006
typo,score=0.967291893002006
stomp,score=0.965609806819021
cord,score=0.965609806819021
#bullshit,score=0.964158076585835
steals,score=0.96382568502552
freezes,score=0.963295883688624
fecking,score=0.959911785704384
#slow,score=0.959911785704384
punt,score=0.959911785704384
itch,score=0.959911785704384
#cranky,score=0.959911785704384
pumps,score=0.959911785704384
corrects,score=0.959911785704384
#fifa13,score=0.959911785704384
nicked,score=0.959911785704384
snapped,score=0.959911785704384
detector,score=0.959911785704384
nagging,score=0.959911785704384
ape,score=0.959911785704384
ee,score=0.959911785704384
mad,score=0.958654187550794
buttons,score=0.957929624500392
slamming,score=0.954491718235044
#irritated,score=0.954069510080155
imessage,score=0.95299134285981
dickhead,score=0.95299134285981
mosquito,score=0.95299134285981
#fuckyou,score=0.95202046899714
stupid,score=0.951570383473294
#badmood,score=0.950342334688233
dms,score=0.950342334688233
#rattled,score=0.950342334688233
boil,score=0.949329676373847
#notimpressed,score=0.948077328057381
#ihatehowpeople,score=0.944407599168418
inconvenience,score=0.944407599168418
#thatstheshitidontlike,score=0.944407599168418
throats,score=0.944407599168418
pikey,score=0.944407599168418
checkout,score=0.944407599168418
crabby,score=0.944407599168418
tapped,score=0.944407599168418
#holyfuck,score=0.944407599168418
boohoo,score=0.944407599168418
underclassmen,score=0.944407599168418
#beastmode,score=0.944407599168418
believable,score=0.944407599168418
#bitterness,score=0.944407599168418
#release,score=0.944407599168418
doorbell,score=0.944407599168418
slap,score=0.943957857762142
smacked,score=0.940367189631413
pissy,score=0.939292498501648
o2,score=0.939292498501648
shut,score=0.938868679889667
jackass,score=0.937438929852325
wae,score=0.937438929852325
#bitchy,score=0.937438929852325
taxis,score=0.937438929852325
#pointless,score=0.937438929852325
disk,score=0.933478528636228
#gah,score=0.933478528636228
watering,score=0.93207698671094
grinds,score=0.92914012703763
cranky,score=0.926010234028702
considerate,score=0.919089791184128
crease,score=0.919089791184128
#f,score=0.919089791184128
wrongly,score=0.919089791184128
fuking,score=0.919089791184128
matey,score=0.919089791184128
somebodys,score=0.919089791184128
cumulative,score=0.919089791184128
noisiest,score=0.919089791184128
20am,score=0.919089791184128
outt,score=0.919089791184128
offf,score=0.919089791184128
cuttin,score=0.919089791184128
#brothers,score=0.919089791184128
busts,score=0.919089791184128
commuter,score=0.919089791184128
nuisance,score=0.919089791184128
equaliser,score=0.919089791184128
#woman,score=0.919089791184128
wastes,score=0.919089791184128
tensions,score=0.919089791184128
#turnitoff,score=0.919089791184128
cashiers,score=0.919089791184128
aggressive,score=0.919089791184128
tounge,score=0.919089791184128
flatmate,score=0.919089791184128
#ihatethem,score=0.919089791184128
#wannagohome,score=0.919089791184128
fierce,score=0.919089791184128
10mins,score=0.919089791184128
diy,score=0.919089791184128
domain,score=0.919089791184128
slagging,score=0.919089791184128
headset,score=0.919089791184128
#seriouslytho,score=0.919089791184128
brum,score=0.919089791184128
snide,score=0.919089791184128
yano,score=0.919089791184128
rudely,score=0.919089791184128
bubbling,score=0.919089791184128
cooperate,score=0.919089791184128
#likereally,score=0.919089791184128
snores,score=0.919089791184128
ephesians,score=0.919089791184128
fudging,score=0.919089791184128
needy,score=0.919089791184128
#ihateitwhen,score=0.919089791184128
#dissapointment,score=0.919089791184128
#pethate,score=0.919089791184128
urm,score=0.919089791184128
abysmal,score=0.919089791184128
#sitdown,score=0.919089791184128
lockers,score=0.919089791184128
shellac,score=0.919089791184128
unnecessarily,score=0.919089791184128
platt,score=0.919089791184128
tantrums,score=0.919089791184128
#solo,score=0.919089791184128
#trains,score=0.919089791184128
#ihatepeople,score=0.919089791184128
stab,score=0.91322467173173
signal,score=0.913047476728166
fuckers,score=0.911972323415265
fricken,score=0.911570958770101
inconvenient,score=0.91003995566421
interrupted,score=0.91003995566421
#stop,score=0.908820124546672
moan,score=0.908039954997544
peeve,score=0.907220215628745
msgs,score=0.906667271185571
straightener,score=0.906667271185571
#noneed,score=0.90382231905334
wound,score=0.901847984749622
drying,score=0.901847984749622
bitching,score=0.901390214084728
#itchy,score=0.899287163887949
kmt,score=0.899287163887949
nob,score=0.899287163887949
whyy,score=0.899287163887949
#soannoying,score=0.899287163887949
glare,score=0.899287163887949
chickfila,score=0.899287163887949
punctuation,score=0.899287163887949
insulted,score=0.899287163887949
buisness,score=0.899287163887949
arg,score=0.899287163887949
nowt,score=0.899287163887949
#pricks,score=0.899287163887949
effing,score=0.89840958594659
idiots,score=0.897541454977926
notifications,score=0.896804746394693
boiling,score=0.89661693533207
morons,score=0.895832929019861
woken,score=0.895373264566812
immature,score=0.893610705883144
#words,score=0.890918914217432
dieting,score=0.890918914217432
misleading,score=0.890918914217432
#eugh,score=0.890918914217432
#crabby,score=0.890918914217432
#unfollowed,score=0.890918914217432
hardwork,score=0.890918914217432
chords,score=0.890918914217432
50am,score=0.890918914217432
bailing,score=0.890918914217432
#train,score=0.890918914217432
digestive,score=0.890918914217432
#thingsihate,score=0.890918914217432
#ebay,score=0.890918914217432
fuels,score=0.890918914217432
overreact,score=0.890918914217432
whomever,score=0.890918914217432
wrinkly,score=0.890918914217432
allllllll,score=0.890918914217432
pms,score=0.890918914217432
#petpeeves,score=0.890918914217432
#stoptalking,score=0.890918914217432
restarting,score=0.890918914217432
clogging,score=0.890918914217432
buffer,score=0.890918914217432
#alwayshappens,score=0.890918914217432
flippin,score=0.890918914217432
chucked,score=0.890918914217432
responsibilities,score=0.890918914217432
#birds,score=0.890918914217432
#stupid,score=0.890918914217432
#stubborn,score=0.890918914217432
helen,score=0.889675905977835
builders,score=0.886299968361138
raging,score=0.884220965533305
tragus,score=0.883371708582049
vessel,score=0.883371708582049
threatens,score=0.883371708582049
#nobodylikes,score=0.883371708582049
cuss,score=0.879869078030847
detest,score=0.879869078030847
#urgh,score=0.879869078030847
wank,score=0.877846832650079
littlest,score=0.876530176765333
unfollow,score=0.87560467924439
punished,score=0.87560467924439
fucking,score=0.870404751850536
#woof,score=0.870299627014696
vast,score=0.870299627014696
splashed,score=0.870299627014696
frig,score=0.870299627014696
slaps,score=0.870299627014696
#brokenhearted,score=0.870299627014696
cables,score=0.870299627014696
frizzy,score=0.870299627014696
lousy,score=0.870299627014696
asos,score=0.870299627014696
spoilt,score=0.870299627014696
slag,score=0.870299627014696
hashtagging,score=0.870299627014696
#sostupid,score=0.870299627014696
#caps,score=0.870299627014696
predictable,score=0.870299627014696
#violent,score=0.870299627014696
breakin,score=0.870299627014696
carnt,score=0.870299627014696
#outrage,score=0.870299627014696
rants,score=0.870299627014696
whistles,score=0.870299627014696
grate,score=0.870299627014696
vent,score=0.870299627014696
insert,score=0.870299627014696
ruining,score=0.869036202967924
messes,score=0.865385612212267
sim,score=0.865385612212267
ffs,score=0.865149401038381
#idiot,score=0.865022569913853
reset,score=0.864601605900059
#immature,score=0.862808955285539
loathe,score=0.86193137734418
arsehole,score=0.86193137734418
goddamn,score=0.86193137734418
shouts,score=0.86193137734418
scream,score=0.861749244568884
bastard,score=0.860997234352383
fucker,score=0.859828327147401
#badluck,score=0.859370556482506
#donttalktome,score=0.859370556482506
texters,score=0.859370556482506
#getagrip,score=0.859370556482506
charging,score=0.858465169367694
slam,score=0.858129091394441
stole,score=0.856269778804258
#goaway,score=0.855910889562597
#ihateyou,score=0.854551270046557
kiddin,score=0.854551270046557
flexing,score=0.854551270046557
ere,score=0.854551270046557
spamming,score=0.854551270046557
10min,score=0.854551270046557
#getittogether,score=0.854551270046557
allowance,score=0.854551270046557
heartburn,score=0.854551270046557
paypal,score=0.854551270046557
dovey,score=0.854551270046557
receipts,score=0.854551270046557
#bitter,score=0.854551270046557
brick,score=0.852281121512018
upload,score=0.851837564174961
#jealousy,score=0.851837564174961
#stopit,score=0.851178585567918
15mins,score=0.850096919697177
motherfuckers,score=0.850096919697177
hoovering,score=0.850096919697177
correcting,score=0.850096919697177
f*cking,score=0.850096919697177
#nofun,score=0.850096919697177
wakes,score=0.84888553251088
wanker,score=0.847993869500398
whistling,score=0.847993869500398
buses,score=0.847993869500398
idiotic,score=0.847993869500398
shuts,score=0.845402075392969
shove,score=0.844398898582539
zipper,score=0.842128750048
ughhhhh,score=0.842128750048
twitches,score=0.842128750048
crashes,score=0.842128750048
#fighting,score=0.842128750048
htc,score=0.842128750048
init,score=0.842128750048
pos,score=0.842128750048
skips,score=0.842128750048
fifa,score=0.838817488744344
stones,score=0.838550928700116
#fuckthis,score=0.837864351261543
arghhh,score=0.836851692947156
manly,score=0.836851692947156
puddle,score=0.836851692947156
bothers,score=0.833931982843822
aggression,score=0.832078414194499
prov,score=0.832078414194499
antibiotics,score=0.832078414194499
#little,score=0.832078414194499
excel,score=0.832078414194499
bellend,score=0.832078414194499
frigging,score=0.832078414194499
crank,score=0.832078414194499
